"시도별","지출목적별",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
"전국","스낵과자",108.56,107.86,104.24,103.00,99.28,100.00,99.432,93.470,90.246,85.394
"전국","파이",89.37,88.40,87.88,86.83,88.94,100.00,98.047,85.029,74.992,72.591
"전국","설탕",101.49,101.17,100.38,99.81,99.46,100.00,100.395,100.771,104.144,100.617
"전국","잼",107.31,104.54,104.96,103.38,100.37,100.00,99.199,99.778,94.906,89.594
"전국","꿀",117.80,118.01,115.03,112.56,102.25,100.00,99.782,100.734,99.208,98.184
"전국","물엿",100.82,100.16,99.46,101.53,100.22,100.00,101.151,98.803,95.995,86.737
"전국","기타 식료품",112.51,111.70,108.82,101.86,100.04,100.00,97.483,99.148,101.741,88.097
"전국","고춧가루",132.85,135.06,137.64,103.52,96.04,100.00,94.622,110.881,139.755,101.042
"전국","참깨",108.11,107.39,104.17,100.26,99.71,100.00,98.284,98.473,97.262,94.729
"전국","생강",126.23,156.79,97.01,58.44,76.17,100.00,84.096,82.832,73.641,64.099
"전국","소금",102.48,100.27,99.59,99.98,99.98,100.00,98.413,97.709,98.159,78.881
"전국","간장",110.00,109.18,108.37,105.92,100.62,100.00,100.077,98.044,92.358,81.441
"전국","된장",95.36,99.90,100.18,98.50,100.91,100.00,99.159,97.714,92.971,87.443
"전국","양념소스",97.22,96.79,97.65,98.02,99.68,100.00,100.339,96.298,97.702,90.515
"전국","고추장",98.94,106.77,101.19,100.34,99.65,100.00,99.272,97.128,92.762,79.927
"전국","카레",105.21,106.14,106.27,103.25,102.35,100.00,101.834,102.876,103.591,97.901
"전국","식초",118.65,115.13,109.92,106.08,101.20,100.00,-,-,-,-
"전국","드레싱",105.31,104.87,104.63,103.68,101.89,100.00,101.414,100.430,99.775,98.240
"전국","혼합조미료",121.18,117.51,110.40,107.15,102.30,100.00,85.825,81.094,75.984,69.273
"전국","스프",124.36,124.00,122.75,116.17,107.99,100.00,105.656,105.474,105.137,102.893
"전국","이유식",101.04,98.84,92.69,99.93,98.40,100.00,96.926,96.450,95.482,95.235
"전국","김치",119.19,109.44,109.08,111.10,107.94,100.00,100.537,101.370,96.133,86.177
"전국","밑반찬",114.40,112.01,108.61,104.61,102.13,100.00,97.795,94.413,92.389,84.720
"전국","냉동식품",100.85,100.09,97.70,96.36,99.82,100.00,95.155,94.559,93.937,89.697
"전국","즉석식품",111.19,109.03,105.14,100.94,99.38,100.00,99.177,99.303,95.287,90.077
"전국","삼각김밥",113.42,109.66,104.80,100.34,99.39,100.00,100.154,99.726,97.116,96.739
"전국","01.2 비주류 음료",102.39,101.61,100.18,99.18,99.83,100.00,98.168,97.063,94.658,90.486
"전국","커피 · 차 및 코코아",96.27,96.46,95.88,95.56,99.71,100.00,98.325,98.388,97.426,93.477
"전국","커피",95.55,96.28,95.66,94.84,100.42,100.00,98.393,99.328,98.199,94.173
"전국","차",98.63,96.92,96.49,97.94,97.39,100.00,98.167,96.226,96.072,91.591
"전국","생수 · 청량음료 · 과일주스 및 채소주스",105.78,104.44,102.53,101.16,99.90,100.00,98.077,96.298,93.055,88.776
"전국","주스",95.33,96.78,96.93,98.30,99.05,100.00,101.183,102.328,101.913,97.522
"전국","두유",113.26,112.39,108.95,102.22,99.60,100.00,99.875,99.054,92.479,89.709
"전국","생수",110.18,109.53,104.19,100.05,99.92,100.00,99.422,99.308,100.013,94.143
"전국","기능성음료",103.94,103.22,102.79,102.29,102.55,100.00,94.142,93.853,93.318,92.515
"전국","탄산음료",110.66,105.60,104.54,104.21,99.54,100.00,93.315,87.243,82.408,76.807
"전국","혼합음료",110.34,110.47,105.14,102.42,101.48,100.00,98.785,95.825,89.563,86.616
"전국","02 주류 및 담배",103.44,103.11,102.47,102.21,100.69,100.00,66.630,66.678,65.584,64.618
"전국","02.1 주류",110.85,109.86,107.92,107.12,102.22,100.00,99.222,99.076,94.703,93.987
"전국","주류",110.85,109.86,107.92,107.12,102.22,100.00,99.222,99.076,94.703,93.987
"전국","소주",120.45,117.47,113.35,112.37,106.40,100.00,99.037,99.004,91.846,92.089
"전국","과실주",98.09,98.14,97.29,95.39,99.21,100.00,99.317,101.049,95.351,96.253
"전국","맥주",108.98,108.72,107.45,107.02,100.76,100.00,99.371,98.955,95.723,93.839
"전국","막걸리",107.41,106.80,106.32,104.73,101.81,100.00,99.287,99.256,98.377,99.100
"전국","양주",100.93,102.18,101.69,100.35,100.01,100.00,97.928,97.488,93.060,92.667
"전국","약주",109.47,104.07,100.17,99.79,99.43,100.00,100.438,99.047,94.179,93.688
"전국","02.2 담배",100.00,100.00,100.00,100.00,100.00,100.00,56.304,56.409,56.355,55.310
"전국","담배",100.00,100.00,100.00,100.00,100.00,100.00,56.304,56.409,56.355,55.310
"전국","담배",100.00,100.00,100.00,100.00,100.00,100.00,56.304,56.409,56.355,55.310
"전국","03 의류 및 신발",104.91,104.15,104.04,102.90,101.80,100.00,98.680,94.873,92.179,87.971
"전국","03.1 의류",104.35,103.71,103.77,102.80,101.63,100.00,98.642,94.663,91.400,87.272
